Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2018-03-01,10929.91,10948.45,11083.0,10214.09,10533.68,55567.0,396.87
2018-03-02,11026.93,11034.99,11174.97,10774.1,10925.1,53753.0,97.02
2018-03-03,11283.14,11304.78,11501.0,10935.73,11026.93,43507.0,256.21
2018-03-04,11122.44,11127.9,11460.82,11055.99,11290.43,36730.0,-160.7
2018-03-05,11558.85,11565.99,11687.57,11097.5,11101.0,58557.0,436.41
2018-03-06,10790.0,10799.98,11621.99,10560.32,11558.53,52375.0,-768.85
2018-03-07,9941.5,9941.51,10910.0,9400.53,10780.26,54946.0,-848.5
2018-03-08,9318.99,9327.65,10131.99,9053.2,9936.81,61342.0,-622.51
2018-03-09,8981.78,8999.9,9410.15,8366.32,9327.26,64929.0,-337.21
2018-03-10,8812.98,8819.54,9513.0,8768.13,8981.78,54904.0,-168.8
2018-03-11,9640.66,9648.0,9681.99,8450.01,8835.7,45241.0,827.68
2018-03-12,9014.07,9021.23,9891.99,8748.0,9633.39,69020.0,-626.59
2018-03-13,9060.33,9065.52,9482.12,8834.98,9020.32,59294.0,46.26
2018-03-14,8300.0,8308.64,9355.01,8201.14,9061.99,64311.0,-760.33
2018-03-15,8250.01,8260.24,8423.69,7670.21,8300.0,66202.0,-49.99
2018-03-16,8529.89,8529.91,8612.11,7914.09,8248.21,63963.0,279.88
2018-03-17,7850.0,7854.31,8534.96,7730.23,8516.33,58757.0,-679.89
2018-03-18,7495.12,7495.99,8089.75,7325.37,7834.56,58393.0,-354.88
2018-03-19,8424.0,8438.19,8725.54,7389.03,7480.44,75853.0,928.88
2018-03-20,8914.65,8931.45,9050.0,8319.92,8428.4,64777.0,490.65
2018-03-21,8906.73,8908.55,9187.0,8754.83,8914.66,62642.0,-7.92
2018-03-22,8602.52,8604.28,9098.04,8497.95,8882.9,58451.0,-304.21
2018-03-23,8617.65,8626.85,8784.71,8280.81,8599.0,61158.0,15.13
2018-03-24,8923.44,8937.18,9010.33,8617.26,8617.65,60269.0,305.79
2018-03-25,8536.74,8539.99,8928.99,8370.45,8923.44,51907.0,-386.7
2018-03-26,7888.0,7893.79,8679.64,7831.18,8543.26,64039.0,-648.74
2018-03-27,7992.17,7993.67,8268.36,7742.11,7910.0,57145.0,104.17
2018-03-28,7900.21,7914.97,8102.91,7723.01,7995.0,59643.0,-91.96
2018-03-29,7101.0,7103.99,8006.42,7100.0,7894.68,58823.0,-799.21
2018-03-30,6844.04,6858.93,7330.64,6553.72,7100.0,64120.0,-256.96
2018-03-31,6903.6,6914.39,7226.02,6756.0,6844.04,66815.0,59.56
2018-04-01,6817.19,6830.36,7041.94,6427.0,6899.15,52491.0,-86.41
2018-04-02,6936.47,6936.75,7115.68,6758.45,6828.43,64487.0,119.28
2018-04-03,7407.89,7408.17,7506.83,6923.85,6937.21,57240.0,471.42
2018-04-04,6827.05,6830.0,7449.22,6730.38,7395.13,58449.0,-580.84
2018-04-05,6717.5,6731.1,6926.0,6578.93,6799.37,62287.0,-109.55
2018-04-06,6609.88,6610.54,6860.04,6510.0,6717.54,63361.0,-107.62
2018-04-07,7001.93,7003.85,7068.51,6540.0,6599.87,40303.0,392.05
2018-04-08,6988.99,6989.69,7103.3,6851.59,6995.57,35361.0,-12.94
2018-04-09,6653.91,6661.99,7174.68,6610.0,6988.99,51278.0,-335.08
2018-04-10,6839.9,6853.7,6870.0,6650.89,6653.92,52517.0,185.99
2018-04-11,6895.08,6896.99,6965.29,6777.93,6837.05,44090.0,55.18
2018-04-12,7733.99,7734.7,8059.34,6758.46,6889.98,49046.0,838.91
2018-04-13,7910.0,7912.65,8228.8,7691.79,7723.94,58510.0,176.01
2018-04-14,8071.41,8076.99,8224.39,7805.0,7910.0,52886.0,161.41
2018-04-15,8315.73,8322.66,8415.1,7945.2,8067.64,51571.0,244.32
2018-04-16,7986.2,8001.16,8424.4,7905.0,8316.21,60341.0,-329.53
