Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
10-Mar-2016,415.90,416.00,416.86,409.54,412.54,"12,887",+3.45
09-Mar-2016,412.45,413.00,413.41,408.75,411.75,"14,679",+0.69
08-Mar-2016,411.76,412.15,414.91,408.46,412.84,"12,470",-1.04
07-Mar-2016,412.80,413.96,414.90,403.01,405.03,"13,696",+7.74
06-Mar-2016,405.06,406.23,411.59,393.11,398.55,"8,797",+6.51
05-Mar-2016,398.55,399.74,408.85,382.02,407.54,"15,448",-8.99
04-Mar-2016,407.54,408.35,423.88,406.13,419.63,"14,116",-12.09
03-Mar-2016,419.63,420.34,424.40,415.86,422.30,"13,097",-2.30
02-Mar-2016,421.93,423.46,434.04,421.23,432.43,"13,004",-10.56
01-Mar-2016,432.49,433.33,437.00,427.01,435.25,"11,616",-2.50
29-Feb-2016,434.99,436.52,440.83,428.12,430.26,"14,549",+4.73
28-Feb-2016,430.26,431.65,434.57,422.21,431.07,"7,947",-0.80
27-Feb-2016,431.06,431.59,434.58,428.55,431.39,"15,673",-0.84
26-Feb-2016,431.90,431.95,431.90,418.01,423.32,"13,326",+7.40
25-Feb-2016,424.50,425.14,425.78,421.54,423.43,"13,923",+1.07
24-Feb-2016,423.43,423.63,424.25,410.86,419.99,"10,549",+3.82
23-Feb-2016,419.61,420.09,439.56,415.01,436.92,"9,876",-17.31
22-Feb-2016,436.92,437.18,438.18,431.31,437.85,"13,583",-1.21
21-Feb-2016,438.13,438.55,446.12,425.39,434.38,"10,525",+4.46
20-Feb-2016,433.67,434.28,442.36,419.19,419.19,"22,443",+14.26
19-Feb-2016,419.41,419.75,421.53,414.91,420.48,"20,747",-1.39
18-Feb-2016,420.80,421.10,424.38,413.74,415.08,"17,764",+6.25
17-Feb-2016,414.55,414.64,420.72,405.55,407.26,"13,864",+7.50
16-Feb-2016,407.05,407.25,408.14,397.76,399.11,"11,871",+8.30
15-Feb-2016,398.75,399.26,408.73,394.77,405.33,"15,480",-6.56
14-Feb-2016,405.31,405.88,405.62,390.52,390.52,"10,668",+14.81
13-Feb-2016,390.50,390.87,390.50,382.55,382.68,"14,223",+7.95
12-Feb-2016,382.55,383.00,383.78,372.20,373.31,"12,616",+9.24
11-Feb-2016,373.31,374.26,378.96,370.73,377.88,"11,618",-4.42
10-Feb-2016,377.73,377.74,381.81,371.19,371.73,"14,895",+6.01
09-Feb-2016,371.72,372.14,375.48,370.00,370.98,"14,774",+0.74
08-Feb-2016,370.98,371.24,378.00,370.18,374.41,"13,453",-3.33
07-Feb-2016,374.31,374.84,378.73,372.00,374.78,"10,240",-0.47
06-Feb-2016,374.78,375.00,384.73,369.48,384.62,"11,539",-9.84
05-Feb-2016,384.62,385.21,389.97,383.21,387.36,"15,932",-2.74
04-Feb-2016,387.36,387.71,389.86,369.16,369.18,"18,149",+18.18
03-Feb-2016,369.18,369.42,373.65,366.50,372.55,"17,936",-3.37
02-Feb-2016,372.55,373.01,375.44,370.58,370.95,"12,746",+1.60
01-Feb-2016,370.95,371.27,378.92,365.72,367.72,"16,971",+3.58
31-Jan-2016,367.37,367.71,379.63,364.32,376.92,"16,662",-9.55
30-Jan-2016,376.92,377.11,380.95,375.35,378.37,"15,947",-1.92
29-Jan-2016,378.84,379.10,384.08,364.01,379.57,"16,995",-0.66
28-Jan-2016,379.50,380.02,394.70,377.73,394.29,"14,440",-14.76
27-Jan-2016,394.26,394.65,396.40,390.65,391.90,"15,974",+2.72
26-Jan-2016,391.54,391.97,398.00,387.75,390.74,"13,742",+0.89
25-Jan-2016,390.65,391.20,401.73,385.99,401.73,"16,237",-11.41
24-Jan-2016,402.06,402.58,405.35,385.28,385.60,"10,542",+16.16
23-Jan-2016,385.90,386.46,394.27,380.78,380.98,"11,498",+5.27
22-Jan-2016,380.63,382.16,410.96,374.45,409.79,"14,626",-29.19
21-Jan-2016,409.82,410.26,422.24,404.95,418.15,"12,115",-8.29
20-Jan-2016,418.11,418.64,423.61,375.04,378.50,"13,015",+39.37
19-Jan-2016,378.74,379.14,387.42,378.10,385.60,"10,628",-6.86
18-Jan-2016,385.60,386.06,388.05,374.63,380.10,"11,145",+5.58
17-Jan-2016,380.02,380.48,389.44,376.99,385.22,"8,234",-6.84
16-Jan-2016,386.86,387.51,390.37,352.10,359.13,"10,614",+27.31
15-Jan-2016,359.55,359.78,430.50,359.51,430.17,"12,061",-70.62
14-Jan-2016,430.17,430.45,433.98,424.17,432.07,"13,648",-2.01
13-Jan-2016,432.18,432.30,436.55,423.52,432.75,"11,194",-2.02
12-Jan-2016,434.20,434.89,448.80,433.70,448.80,"10,406",-14.34
11-Jan-2016,448.54,449.16,450.99,441.18,448.17,"10,445",+0.23
10-Jan-2016,448.31,448.35,449.73,440.84,449.01,"8,972",-0.25
09-Jan-2016,448.56,449.16,454.63,447.02,453.14,"13,221",-4.58
08-Jan-2016,453.14,453.23,463.82,446.60,457.44,"9,286",-5.22
07-Jan-2016,458.36,458.51,459.52,429.11,429.41,"12,544",+29.57
06-Jan-2016,428.79,429.17,432.24,426.38,432.24,"12,442",-3.45
05-Jan-2016,432.24,432.45,434.58,429.11,432.69,"15,625",-0.69
04-Jan-2016,432.93,433.54,434.64,428.57,430.10,"20,935",+2.97
03-Jan-2016,429.96,430.44,433.39,424.08,432.88,"13,019",-3.33
02-Jan-2016,433.29,433.57,435.52,430.83,434.14,"18,169",-0.69
01-Jan-2016,433.98,434.29,435.38,427.30,429.58,"18,645",+4.40
31-Dec-2015,429.58,429.97,432.90,417.70,425.40,"14,793",+3.63
30-Dec-2015,425.95,426.55,433.67,420.35,431.62,"12,522",-5.57
29-Dec-2015,431.52,432.12,432.27,418.94,420.59,"16,130",+10.93
28-Dec-2015,420.59,421.08,428.08,417.20,421.50,"17,046",-1.03
27-Dec-2015,421.62,421.87,425.06,409.50,417.27,"10,541",+3.99
26-Dec-2015,417.63,418.08,457.85,407.95,455.27,"16,401",-37.64
25-Dec-2015,455.27,455.39,458.55,449.00,455.46,"14,472",-0.16
24-Dec-2015,455.43,455.85,458.98,442.34,442.34,"16,459",+13.02
23-Dec-2015,442.41,442.92,445.18,434.29,434.81,"16,778",+7.63
22-Dec-2015,434.78,435.29,442.92,433.42,436.90,"15,288",-2.67
21-Dec-2015,437.45,437.90,446.37,425.78,442.84,"15,751",-5.39
20-Dec-2015,442.84,443.05,461.87,433.51,461.62,"17,287",-18.78
19-Dec-2015,461.62,461.66,465.73,452.57,463.18,"19,291",-1.75
18-Dec-2015,463.37,463.40,465.37,453.80,454.73,"17,842",+8.38
17-Dec-2015,454.99,455.65,458.47,451.09,455.75,"12,746",-0.76
16-Dec-2015,455.75,456.07,465.10,441.00,465.10,"13,976",-9.35
15-Dec-2015,465.10,465.63,465.16,443.09,443.50,"13,662",+21.60
14-Dec-2015,443.50,444.10,447.63,427.87,431.85,"15,623",+11.12
13-Dec-2015,432.38,432.98,441.50,420.59,435.18,"10,330",-3.31
12-Dec-2015,435.69,436.10,469.10,410.66,452.90,"14,052",-16.97
11-Dec-2015,452.66,453.30,453.65,414.80,414.80,"14,490",+37.86
10-Dec-2015,414.80,414.94,418.89,410.17,417.06,"11,571",-2.24
09-Dec-2015,417.04,417.54,423.20,402.67,416.75,"12,784",-0.58
08-Dec-2015,417.62,418.11,418.06,388.54,395.26,"9,536",+22.78
07-Dec-2015,394.84,395.40,399.72,382.97,387.54,"12,736",+7.55
06-Dec-2015,387.29,387.54,401.26,385.00,388.12,"11,970",-0.83
05-Dec-2015,388.12,388.66,390.15,363.13,363.22,"15,836",+24.91
04-Dec-2015,363.21,363.49,363.90,355.47,361.21,"13,170",+2.02
03-Dec-2015,361.19,361.50,370.07,355.91,358.99,"14,407",+2.21
02-Dec-2015,358.98,359.04,362.71,347.90,362.71,"11,026",-3.89
01-Dec-2015,362.87,363.19,379.02,355.05,376.56,"12,510",-13.86
30-Nov-2015,376.73,377.35,382.47,368.89,371.46,"14,923",+5.57
29-Nov-2015,371.16,371.61,373.23,355.04,357.64,"6,761",+14.09
28-Nov-2015,357.07,357.66,359.78,350.69,357.65,"8,547",-0.62
27-Nov-2015,357.69,358.02,363.94,347.90,353.05,"10,465",+4.72
26-Nov-2015,352.97,353.07,368.32,328.64,329.32,"13,219",+23.65
25-Nov-2015,329.32,329.37,330.43,316.52,319.83,"10,870",+9.49
24-Nov-2015,319.83,320.35,322.98,317.20,322.82,"15,040",-2.99
23-Nov-2015,322.82,323.24,325.99,320.83,323.64,"12,915",-0.75
22-Nov-2015,323.57,324.47,326.72,321.26,326.70,"7,498",-3.07
21-Nov-2015,326.64,326.83,327.77,318.72,321.67,"11,270",+5.39
20-Nov-2015,321.25,321.83,324.82,313.87,313.87,"14,964",-6.02
19-Nov-2015,327.27,327.36,334.49,325.64,333.92,"11,848",-6.53
18-Nov-2015,333.80,334.13,336.99,328.91,335.00,"16,503",-1.20
17-Nov-2015,335.00,335.52,342.38,327.27,330.55,"16,457",+4.24
16-Nov-2015,330.76,331.24,332.36,315.37,320.00,"14,406",+10.60
15-Nov-2015,320.16,320.66,334.85,315.68,333.14,"8,773",-12.45
14-Nov-2015,332.61,332.99,345.24,327.89,337.29,"12,137",-4.30
13-Nov-2015,336.91,337.24,341.66,325.34,336.15,"13,632",+0.58
12-Nov-2015,336.33,336.63,343.57,310.68,311.99,"11,742",+26.56
11-Nov-2015,309.77,310.06,341.07,298.95,337.25,"13,514",-26.66
10-Nov-2015,336.43,336.98,380.50,325.64,377.29,"12,762",-41.58
09-Nov-2015,378.01,378.74,387.53,361.52,373.63,"16,866",+4.75
08-Nov-2015,373.26,373.72,389.65,366.42,384.07,"11,672",-12.11
07-Nov-2015,385.37,385.86,392.05,371.33,374.49,"13,813",+9.96
06-Nov-2015,375.41,375.90,395.91,351.93,387.30,"15,213",-10.65
05-Nov-2015,386.06,386.55,447.26,368.55,408.34,"13,309",-21.42
04-Nov-2015,407.48,408.00,499.93,370.24,404.13,"14,953",+3.65
03-Nov-2015,403.83,404.26,418.00,360.69,362.87,"15,642",+40.58
02-Nov-2015,363.25,363.33,369.57,324.02,328.25,"17,738",+35.00
01-Nov-2015,328.25,328.75,331.42,309.09,312.87,"8,578",+15.75
31-Oct-2015,312.50,312.90,334.12,305.75,327.71,"15,235",-15.22
30-Oct-2015,327.72,328.61,334.20,314.73,315.15,"15,363",+12.94
29-Oct-2015,314.78,315.14,320.33,301.01,304.30,"19,369",+10.49
28-Oct-2015,304.29,304.46,307.46,294.52,294.88,"20,563",+9.41
27-Oct-2015,294.88,295.20,298.18,286.10,286.49,"20,414",+8.39
26-Oct-2015,286.49,286.59,286.95,280.81,283.67,"20,579",+2.82
25-Oct-2015,283.67,283.87,294.49,282.57,283.14,"17,715",+0.67
24-Oct-2015,283.00,283.15,283.68,278.25,278.26,"13,746",+4.82
23-Oct-2015,278.18,278.55,279.98,274.77,275.24,"19,073",+3.08
22-Oct-2015,275.10,275.49,279.43,267.50,267.89,"18,340",+7.30
21-Oct-2015,267.80,267.96,272.11,264.82,270.80,"20,324",-3.00
20-Oct-2015,270.80,270.84,272.62,264.01,264.71,"15,164",+6.02
19-Oct-2015,264.78,264.98,266.37,261.62,262.81,"16,977",+1.98
18-Oct-2015,262.80,263.34,272.65,261.71,271.57,"12,572",-8.70
17-Oct-2015,271.50,271.95,274.04,262.54,263.13,"25,046",+8.37
16-Oct-2015,263.13,263.31,267.39,254.18,254.49,"16,467",+8.64
15-Oct-2015,254.49,254.78,256.47,252.00,252.48,"11,868",+2.01
14-Oct-2015,252.48,252.64,255.15,249.30,250.38,"15,353",+2.10
13-Oct-2015,250.38,250.48,251.37,244.00,246.08,"13,379",+4.30
12-Oct-2015,246.08,246.38,248.11,245.14,247.70,"20,702",-1.62
11-Oct-2015,247.70,247.96,248.09,244.70,245.55,"13,711",+2.17
10-Oct-2015,245.53,245.67,245.73,243.22,244.60,"20,157",+0.93
09-Oct-2015,244.60,244.62,244.95,242.51,242.97,"25,915",+1.65
08-Oct-2015,242.95,243.11,244.84,242.90,243.63,"19,932",-0.57
07-Oct-2015,243.52,243.81,246.95,243.02,246.40,"20,268",-2.88
06-Oct-2015,246.40,246.58,248.03,240.24,240.47,"17,553",+5.93
